product_id,product_name,category,price_tier,base_retail_price,valid_from,valid_to,is_current
10018,Bekleidung Model 18,Bekleidung,budget,62.18,2026-02-16,9999-12-31,true
10019,Ausrüstung Model 19,Ausrüstung,premium,229.52,2024-01-01,9999-12-31,true
10020,Bekleidung Model 20,Bekleidung,budget,42.92,2024-01-01,9999-12-31,true
10021,Ausrüstung Model 21,Ausrüstung,mid,134.33,2024-01-01,9999-12-31,true
10022,Ausrüstung Model 22,Ausrüstung,mid,161.45,2024-01-01,9999-12-31,true
10023,Bekleidung Model 23,Bekleidung,mid,110.9,2024-01-01,9999-12-31,true
10024,Bekleidung Model 24,Bekleidung,mid,124.83,2024-01-01,9999-12-31,true
10025,Schuhe Model 25,Schuhe,budget,69.25,2024-01-01,9999-12-31,true
10026,Ausrüstung Model 26,Ausrüstung,budget,50.71,2024-01-01,2024-05-01,false
10026,Ausrüstung Model 26,Ausrüstung,mid,62.16,2024-05-01,2026-02-16,false
10026,Ausrüstung Model 26,Ausrüstung,budget,50.71,2026-02-16,9999-12-31,true
10027,Bekleidung Model 27,Bekleidung,mid,175.32,2024-01-01,9999-12-31,true
10028,Bekleidung Model 28,Bekleidung,mid,99.42,2024-01-01,9999-12-31,true
10029,Ausrüstung Model 29,Ausrüstung,mid,87.89,2024-01-01,9999-12-31,true
10030,Bekleidung Model 30,Bekleidung,premium,206.58,2024-01-01,2025-05-01,false
10030,Bekleidung Model 30,Bekleidung,mid,171.65,2025-05-01,2026-02-16,false
10030,Bekleidung Model 30,Bekleidung,premium,206.58,2026-02-16,9999-12-31,true
10031,Ausrüstung Model 31,Ausrüstung,mid,160.93,2024-01-01,9999-12-31,true
10032,Ausrüstung Model 32,Ausrüstung,premium,338.83,2024-01-01,9999-12-31,true
10033,Schuhe Model 33,Schuhe,mid,125.68,2024-01-01,9999-12-31,true
10034,Schuhe Model 34,Schuhe,premium,340.49,2024-01-01,2025-10-01,false
10034,Schuhe Model 34,Schuhe,mid,287.93,2025-10-01,2026-02-16,false
10034,Schuhe Model 34,Schuhe,premium,340.49,2026-02-16,9999-12-31,true
10035,Schuhe Model 35,Schuhe,premium,292.27,2024-01-01,2024-05-01,false
10035,Schuhe Model 35,Schuhe,mid,244.11,2024-05-01,2026-02-16,false
10035,Schuhe Model 35,Schuhe,premium,292.27,2026-02-16,9999-12-31,true
10036,Bekleidung Model 36,Bekleidung,budget,70.15,2024-01-01,9999-12-31,true
10037,Ausrüstung Model 37,Ausrüstung,premium,292.98,2024-01-01,9999-12-31,true
10038,Bekleidung Model 38,Bekleidung,mid,119.97,2024-01-01,2024-05-01,false
10038,Bekleidung Model 38,Bekleidung,premium,147.89,2024-05-01,2026-02-16,false
10038,Bekleidung Model 38,Bekleidung,mid,119.97,2026-02-16,9999-12-31,true
10039,Bekleidung Model 39,Bekleidung,premium,185.15,2024-01-01,2025-05-01,false
10039,Bekleidung Model 39,Bekleidung,mid,155.35,2025-05-01,2026-02-16,false
10039,Bekleidung Model 39,Bekleidung,premium,185.15,2026-02-16,9999-12-31,true
10040,Ausrüstung Model 40,Ausrüstung,budget,75.53,2024-01-01,9999-12-31,true
10041,Bekleidung Model 41,Bekleidung,mid,122.93,2024-01-01,9999-12-31,true
10042,Ausrüstung Model 42,Ausrüstung,premium,311.34,2024-01-01,9999-12-31,true
10043,Schuhe Model 43,Schuhe,budget,50.43,2024-01-01,9999-12-31,true
10044,Ausrüstung Model 44,Ausrüstung,budget,64.83,2024-01-01,2025-05-01,false
10044,Ausrüstung Model 44,Ausrüstung,mid,81.91,2025-05-01,2026-02-16,false
10044,Ausrüstung Model 44,Ausrüstung,budget,64.83,2026-02-16,9999-12-31,true
10045,Bekleidung Model 45,Bekleidung,budget,23.96,2024-01-01,2024-10-01,false
10045,Bekleidung Model 45,Bekleidung,mid,29.5,2024-10-01,2026-02-16,false
10045,Bekleidung Model 45,Bekleidung,budget,23.96,2026-02-16,9999-12-31,true
10046,Bekleidung Model 46,Bekleidung,budget,69.29,2024-01-01,2025-10-01,false
10046,Bekleidung Model 46,Bekleidung,mid,83.61,2025-10-01,2026-02-16,false
10046,Bekleidung Model 46,Bekleidung,budget,69.29,2026-02-16,9999-12-31,true
10047,Bekleidung Model 47,Bekleidung,mid,125.28,2024-01-01,2024-10-01,false
10047,Bekleidung Model 47,Bekleidung,premium,159.93,2024-10-01,2026-02-16,false
10047,Bekleidung Model 47,Bekleidung,mid,125.28,2026-02-16,9999-12-31,true
10048,Bekleidung Model 48,Bekleidung,premium,200.62,2024-01-01,2025-10-01,false
10048,Bekleidung Model 48,Bekleidung,mid,165.1,2025-10-01,2026-02-16,false
10048,Bekleidung Model 48,Bekleidung,premium,200.62,2026-02-16,9999-12-31,true
10049,Ausrüstung Model 49,Ausrüstung,mid,156.31,2024-01-01,9999-12-31,true
10050,Schuhe Model 50,Schuhe,premium,274.32,2024-01-01,9999-12-31,true
10051,Schuhe Model 51,Schuhe,budget,60.94,2024-01-01,2024-10-01,false
10051,Schuhe Model 51,Schuhe,mid,76.29,2024-10-01,2026-02-16,false
10051,Schuhe Model 51,Schuhe,budget,60.94,2026-02-16,9999-12-31,true
10052,Schuhe Model 52,Schuhe,budget,51.85,2024-01-01,9999-12-31,true
10053,Schuhe Model 53,Schuhe,mid,118.18,2024-01-01,2025-05-01,false
10053,Schuhe Model 53,Schuhe,premium,151.56,2025-05-01,2026-02-16,false
10053,Schuhe Model 53,Schuhe,mid,118.18,2026-02-16,9999-12-31,true
10054,Bekleidung Model 54,Bekleidung,mid,102.56,2024-01-01,2025-10-01,false
10054,Bekleidung Model 54,Bekleidung,budget,83.8,2025-10-01,2026-02-16,false
10054,Bekleidung Model 54,Bekleidung,mid,102.56,2026-02-16,9999-12-31,true
10055,Schuhe Model 55,Schuhe,mid,119.54,2024-01-01,9999-12-31,true
10056,Ausrüstung Model 56,Ausrüstung,budget,34.91,2024-01-01,2024-05-01,false
10056,Ausrüstung Model 56,Ausrüstung,mid,42.56,2024-05-01,2026-02-16,false
10056,Ausrüstung Model 56,Ausrüstung,budget,34.91,2026-02-16,9999-12-31,true
10057,Ausrüstung Model 57,Ausrüstung,mid,139.44,2024-01-01,2025-10-01,false
10057,Ausrüstung Model 57,Ausrüstung,premium,173.68,2025-10-01,2026-02-16,false
10057,Ausrüstung Model 57,Ausrüstung,mid,139.44,2026-02-16,9999-12-31,true
10058,Ausrüstung Model 58,Ausrüstung,budget,59.55,2024-01-01,9999-12-31,true
10059,Bekleidung Model 59,Bekleidung,mid,121.73,2024-01-01,9999-12-31,true
10060,Bekleidung Model 60,Bekleidung,mid,101.49,2024-01-01,9999-12-31,true
10061,Ausrüstung Model 61,Ausrüstung,budget,76.87,2024-01-01,9999-12-31,true
10062,Schuhe Model 62,Schuhe,mid,93.98,2024-01-01,2024-05-01,false
10062,Schuhe Model 62,Schuhe,premium,119.36,2024-05-01,2026-02-16,false
10062,Schuhe Model 62,Schuhe,mid,93.98,2026-02-16,9999-12-31,true
10063,Bekleidung Model 63,Bekleidung,budget,43.14,2024-01-01,9999-12-31,true
10064,Ausrüstung Model 64,Ausrüstung,mid,142.04,2024-01-01,9999-12-31,true
10065,Bekleidung Model 65,Bekleidung,mid,144.47,2024-01-01,9999-12-31,true
10066,Ausrüstung Model 66,Ausrüstung,budget,74.44,2024-01-01,9999-12-31,true
10067,Schuhe Model 67,Schuhe,mid,156.34,2024-01-01,9999-12-31,true
10068,Ausrüstung Model 68,Ausrüstung,mid,102.39,2024-01-01,9999-12-31,true
10069,Schuhe Model 69,Schuhe,mid,81.74,2024-01-01,2025-10-01,false
10069,Schuhe Model 69,Schuhe,budget,65.76,2025-10-01,2026-02-16,false
10069,Schuhe Model 69,Schuhe,mid,81.74,2026-02-16,9999-12-31,true
10070,Schuhe Model 70,Schuhe,mid,115.18,2024-01-01,9999-12-31,true
10071,Ausrüstung Model 71,Ausrüstung,budget,71.9,2024-01-01,2025-10-01,false
10071,Ausrüstung Model 71,Ausrüstung,mid,91.76,2025-10-01,2026-02-16,false
10071,Ausrüstung Model 71,Ausrüstung,budget,71.9,2026-02-16,9999-12-31,true
10072,Ausrüstung Model 72,Ausrüstung,mid,100.73,2024-01-01,2025-10-01,false
10072,Ausrüstung Model 72,Ausrüstung,premium,127.27,2025-10-01,2026-02-16,false
10072,Ausrüstung Model 72,Ausrüstung,mid,100.73,2026-02-16,9999-12-31,true
10073,Schuhe Model 73,Schuhe,budget,66.76,2024-01-01,9999-12-31,true
10074,Schuhe Model 74,Schuhe,premium,324.52,2024-01-01,9999-12-31,true
10075,Schuhe Model 75,Schuhe,mid,123.67,2024-01-01,2024-10-01,false
10075,Schuhe Model 75,Schuhe,budget,103.27,2024-10-01,2026-02-16,false
10075,Schuhe Model 75,Schuhe,mid,123.67,2026-02-16,9999-12-31,true
10076,Schuhe Model 76,Schuhe,mid,85.64,2024-01-01,2024-05-01,false
10076,Schuhe Model 76,Schuhe,budget,72.61,2024-05-01,2026-02-16,false
10076,Schuhe Model 76,Schuhe,mid,85.64,2026-02-16,9999-12-31,true
10077,Ausrüstung Model 77,Ausrüstung,mid,172.39,2024-01-01,9999-12-31,true
10078,Bekleidung Model 78,Bekleidung,budget,76.14,2024-01-01,9999-12-31,true
10079,Ausrüstung Model 79,Ausrüstung,mid,127.14,2024-01-01,9999-12-31,true
10080,Schuhe Model 80,Schuhe,mid,165.19,2024-01-01,9999-12-31,true
10081,Bekleidung Model 81,Bekleidung,mid,128.32,2024-01-01,2024-05-01,false
10081,Bekleidung Model 81,Bekleidung,premium,165.67,2024-05-01,2026-02-16,false
10081,Bekleidung Model 81,Bekleidung,mid,128.32,2026-02-16,9999-12-31,true
10082,Bekleidung Model 82,Bekleidung,budget,59.25,2024-01-01,9999-12-31,true
10083,Ausrüstung Model 83,Ausrüstung,mid,99.18,2024-01-01,2025-05-01,false
10083,Ausrüstung Model 83,Ausrüstung,premium,126.15,2025-05-01,2026-02-16,false
10083,Ausrüstung Model 83,Ausrüstung,mid,99.18,2026-02-16,9999-12-31,true
10084,Bekleidung Model 84,Bekleidung,budget,69.06,2024-01-01,2024-10-01,false
10084,Bekleidung Model 84,Bekleidung,mid,89.08,2024-10-01,2026-02-16,false
10084,Bekleidung Model 84,Bekleidung,budget,69.06,2026-02-16,9999-12-31,true
10085,Bekleidung Model 85,Bekleidung,budget,20.47,2024-01-01,9999-12-31,true
10086,Schuhe Model 86,Schuhe,budget,56.96,2024-01-01,2025-05-01,false
10086,Schuhe Model 86,Schuhe,mid,70.02,2025-05-01,2026-02-16,false
10086,Schuhe Model 86,Schuhe,budget,56.96,2026-02-16,9999-12-31,true
10087,Bekleidung Model 87,Bekleidung,premium,184.96,2024-01-01,2024-05-01,false
10087,Bekleidung Model 87,Bekleidung,mid,156.18,2024-05-01,2026-02-16,false
10087,Bekleidung Model 87,Bekleidung,premium,184.96,2026-02-16,9999-12-31,true
10088,Schuhe Model 88,Schuhe,premium,276.58,2024-01-01,9999-12-31,true
10089,Bekleidung Model 89,Bekleidung,budget,70.15,2024-01-01,9999-12-31,true
10090,Ausrüstung Model 90,Ausrüstung,premium,222.2,2024-01-01,9999-12-31,true
10091,Schuhe Model 91,Schuhe,mid,141.97,2024-01-01,9999-12-31,true
10092,Schuhe Model 92,Schuhe,premium,566.48,2024-01-01,9999-12-31,true
10093,Bekleidung Model 93,Bekleidung,mid,159.45,2024-01-01,2025-10-01,false
10093,Bekleidung Model 93,Bekleidung,premium,193.41,2025-10-01,2026-02-16,false
10093,Bekleidung Model 93,Bekleidung,mid,159.45,2026-02-16,9999-12-31,true
10094,Schuhe Model 94,Schuhe,mid,113.98,2024-01-01,2024-10-01,false
10094,Schuhe Model 94,Schuhe,budget,92.12,2024-10-01,2026-02-16,false
10094,Schuhe Model 94,Schuhe,mid,113.98,2026-02-16,9999-12-31,true
10095,Bekleidung Model 95,Bekleidung,budget,45.91,2024-01-01,9999-12-31,true
10096,Bekleidung Model 96,Bekleidung,budget,31.07,2024-01-01,9999-12-31,true
10097,Bekleidung Model 97,Bekleidung,mid,92.03,2024-01-01,2024-05-01,false
10097,Bekleidung Model 97,Bekleidung,budget,73.92,2024-05-01,2026-02-16,false
10097,Bekleidung Model 97,Bekleidung,mid,92.03,2026-02-16,9999-12-31,true
10098,Ausrüstung Model 98,Ausrüstung,mid,87.41,2024-01-01,9999-12-31,true
10099,Ausrüstung Model 99,Ausrüstung,budget,54.84,2024-01-01,2024-05-01,false
10099,Ausrüstung Model 99,Ausrüstung,mid,69.2,2024-05-01,2026-02-16,false
10099,Ausrüstung Model 99,Ausrüstung,budget,54.84,2026-02-16,9999-12-31,true
10100,Ausrüstung Model 100,Ausrüstung,mid,94.39,2024-01-01,9999-12-31,true
10101,Bekleidung Model 101,Bekleidung,budget,42.57,2024-01-01,2024-05-01,false
10101,Bekleidung Model 101,Bekleidung,mid,53.31,2024-05-01,2026-02-16,false
10101,Bekleidung Model 101,Bekleidung,budget,42.57,2026-02-16,9999-12-31,true
10102,Bekleidung Model 102,Bekleidung,premium,224.14,2024-01-01,2025-10-01,false
10102,Bekleidung Model 102,Bekleidung,mid,186.75,2025-10-01,2026-02-16,false
10102,Bekleidung Model 102,Bekleidung,premium,224.14,2026-02-16,9999-12-31,true
10103,Bekleidung Model 103,Bekleidung,mid,138.24,2024-01-01,9999-12-31,true
10104,Schuhe Model 104,Schuhe,mid,121.03,2024-01-01,2024-05-01,false
10104,Schuhe Model 104,Schuhe,premium,149.82,2024-05-01,2026-02-16,false
10104,Schuhe Model 104,Schuhe,mid,121.03,2026-02-16,9999-12-31,true
10105,Ausrüstung Model 105,Ausrüstung,premium,418.2,2024-01-01,9999-12-31,true
10106,Bekleidung Model 106,Bekleidung,mid,85.32,2024-01-01,9999-12-31,true
10107,Schuhe Model 107,Schuhe,budget,78.99,2024-01-01,2025-05-01,false
10107,Schuhe Model 107,Schuhe,mid,97.48,2025-05-01,2026-02-16,false
10107,Schuhe Model 107,Schuhe,budget,78.99,2026-02-16,9999-12-31,true
10108,Ausrüstung Model 108,Ausrüstung,premium,431.03,2024-01-01,2025-05-01,false
10108,Ausrüstung Model 108,Ausrüstung,mid,360.21,2025-05-01,2026-02-16,false
10108,Ausrüstung Model 108,Ausrüstung,premium,431.03,2026-02-16,9999-12-31,true
10109,Ausrüstung Model 109,Ausrüstung,premium,216.42,2024-01-01,2024-05-01,false
10109,Ausrüstung Model 109,Ausrüstung,mid,179.29,2024-05-01,2026-02-16,false
10109,Ausrüstung Model 109,Ausrüstung,premium,216.42,2026-02-16,9999-12-31,true
10110,Ausrüstung Model 110,Ausrüstung,budget,71.8,2024-01-01,9999-12-31,true
10111,Ausrüstung Model 111,Ausrüstung,mid,129.9,2024-01-01,9999-12-31,true
10112,Schuhe Model 112,Schuhe,budget,78.43,2024-01-01,2025-10-01,false
10112,Schuhe Model 112,Schuhe,mid,94.88,2025-10-01,2026-02-16,false
10112,Schuhe Model 112,Schuhe,budget,78.43,2026-02-16,9999-12-31,true
10113,Schuhe Model 113,Schuhe,budget,60.86,2024-01-01,9999-12-31,true
10114,Bekleidung Model 114,Bekleidung,mid,141.98,2024-01-01,2025-10-01,false
10114,Bekleidung Model 114,Bekleidung,premium,175.56,2025-10-01,2026-02-16,false
10114,Bekleidung Model 114,Bekleidung,mid,141.98,2026-02-16,9999-12-31,true
10115,Schuhe Model 115,Schuhe,premium,315.67,2024-01-01,9999-12-31,true
10116,Schuhe Model 116,Schuhe,budget,60.38,2024-01-01,9999-12-31,true
10117,Ausrüstung Model 117,Ausrüstung,premium,220.1,2024-01-01,9999-12-31,true
10118,Schuhe Model 118,Schuhe,mid,87.77,2024-01-01,9999-12-31,true
10119,Bekleidung Model 119,Bekleidung,budget,60.81,2024-01-01,9999-12-31,true
10120,Schuhe Model 120,Schuhe,mid,90.36,2024-01-01,9999-12-31,true
10121,Schuhe Model 121,Schuhe,budget,78.89,2024-01-01,2025-05-01,false
10121,Schuhe Model 121,Schuhe,mid,101.69,2025-05-01,2026-02-16,false
10121,Schuhe Model 121,Schuhe,budget,78.89,2026-02-16,9999-12-31,true
10122,Bekleidung Model 122,Bekleidung,mid,83.86,2024-01-01,9999-12-31,true
10123,Ausrüstung Model 123,Ausrüstung,mid,82.96,2024-01-01,9999-12-31,true
10124,Ausrüstung Model 124,Ausrüstung,mid,179.35,2024-01-01,9999-12-31,true
10125,Bekleidung Model 125,Bekleidung,budget,79.03,2024-01-01,2025-10-01,false
10125,Bekleidung Model 125,Bekleidung,mid,97.17,2025-10-01,2026-02-16,false
10125,Bekleidung Model 125,Bekleidung,budget,79.03,2026-02-16,9999-12-31,true
10126,Schuhe Model 126,Schuhe,mid,107.83,2024-01-01,2024-10-01,false
10126,Schuhe Model 126,Schuhe,premium,133.77,2024-10-01,2026-02-16,false
10126,Schuhe Model 126,Schuhe,mid,107.83,2026-02-16,9999-12-31,true
10127,Schuhe Model 127,Schuhe,budget,77.19,2024-01-01,2024-10-01,false
10127,Schuhe Model 127,Schuhe,mid,98.36,2024-10-01,2026-02-16,false
10127,Schuhe Model 127,Schuhe,budget,77.19,2026-02-16,9999-12-31,true
10128,Ausrüstung Model 128,Ausrüstung,mid,99.11,2024-01-01,9999-12-31,true
10129,Bekleidung Model 129,Bekleidung,mid,128.15,2024-01-01,9999-12-31,true
10130,Bekleidung Model 130,Bekleidung,mid,110.01,2024-01-01,2024-10-01,false
10130,Bekleidung Model 130,Bekleidung,premium,136.22,2024-10-01,2026-02-16,false
10130,Bekleidung Model 130,Bekleidung,mid,110.01,2026-02-16,9999-12-31,true
10131,Ausrüstung Model 131,Ausrüstung,budget,74.87,2024-01-01,2024-10-01,false
10131,Ausrüstung Model 131,Ausrüstung,mid,92.96,2024-10-01,2026-02-16,false
10131,Ausrüstung Model 131,Ausrüstung,budget,74.87,2026-02-16,9999-12-31,true
10132,Ausrüstung Model 132,Ausrüstung,mid,159.1,2024-01-01,2024-10-01,false
10132,Ausrüstung Model 132,Ausrüstung,premium,194.72,2024-10-01,2026-02-16,false
10132,Ausrüstung Model 132,Ausrüstung,mid,159.1,2026-02-16,9999-12-31,true
10133,Bekleidung Model 133,Bekleidung,mid,127.85,2024-01-01,9999-12-31,true
10134,Schuhe Model 134,Schuhe,budget,52.74,2024-01-01,9999-12-31,true
10135,Bekleidung Model 135,Bekleidung,mid,112.85,2024-01-01,9999-12-31,true
10136,Bekleidung Model 136,Bekleidung,budget,54.73,2024-01-01,2025-05-01,false
10136,Bekleidung Model 136,Bekleidung,mid,70.43,2025-05-01,2026-02-16,false
10136,Bekleidung Model 136,Bekleidung,budget,54.73,2026-02-16,9999-12-31,true
10137,Schuhe Model 137,Schuhe,mid,161.63,2024-01-01,9999-12-31,true
10138,Bekleidung Model 138,Bekleidung,budget,51.52,2024-01-01,9999-12-31,true
10139,Schuhe Model 139,Schuhe,budget,49.28,2024-01-01,9999-12-31,true
10140,Schuhe Model 140,Schuhe,budget,53.85,2024-01-01,2025-05-01,false
10140,Schuhe Model 140,Schuhe,mid,68.88,2025-05-01,2026-02-16,false
10140,Schuhe Model 140,Schuhe,budget,53.85,2026-02-16,9999-12-31,true
10141,Ausrüstung Model 141,Ausrüstung,mid,153.49,2024-01-01,9999-12-31,true
10142,Bekleidung Model 142,Bekleidung,mid,95.19,2024-01-01,9999-12-31,true
10143,Bekleidung Model 143,Bekleidung,budget,47.34,2024-01-01,9999-12-31,true
10144,Ausrüstung Model 144,Ausrüstung,premium,232.06,2024-01-01,2025-05-01,false
10144,Ausrüstung Model 144,Ausrüstung,mid,192.83,2025-05-01,2026-02-16,false
10144,Ausrüstung Model 144,Ausrüstung,premium,232.06,2026-02-16,9999-12-31,true
10145,Ausrüstung Model 145,Ausrüstung,budget,46.38,2024-01-01,2025-10-01,false
10145,Ausrüstung Model 145,Ausrüstung,mid,57.72,2025-10-01,2026-02-16,false
10145,Ausrüstung Model 145,Ausrüstung,budget,46.38,2026-02-16,9999-12-31,true
10146,Bekleidung Model 146,Bekleidung,budget,78.28,2024-01-01,2025-05-01,false
10146,Bekleidung Model 146,Bekleidung,mid,99.63,2025-05-01,2026-02-16,false
10146,Bekleidung Model 146,Bekleidung,budget,78.28,2026-02-16,9999-12-31,true
10147,Bekleidung Model 147,Bekleidung,budget,39.39,2024-01-01,9999-12-31,true
10148,Ausrüstung Model 148,Ausrüstung,mid,94.04,2024-01-01,9999-12-31,true
10149,Ausrüstung Model 149,Ausrüstung,mid,153.42,2024-01-01,9999-12-31,true
10150,Schuhe Model 150,Schuhe,budget,79.03,2024-01-01,9999-12-31,true
10151,Ausrüstung Model 151,Ausrüstung,mid,113.39,2024-01-01,9999-12-31,true
10152,Ausrüstung Model 152,Ausrüstung,premium,300.19,2024-01-01,9999-12-31,true
10153,Bekleidung Model 153,Bekleidung,budget,57.62,2024-01-01,2025-05-01,false
10153,Bekleidung Model 153,Bekleidung,mid,70.69,2025-05-01,2026-02-16,false
10153,Bekleidung Model 153,Bekleidung,budget,57.62,2026-02-16,9999-12-31,true
10154,Schuhe Model 154,Schuhe,premium,184.54,2024-01-01,2024-05-01,false
10154,Schuhe Model 154,Schuhe,mid,154.14,2024-05-01,2026-02-16,false
10154,Schuhe Model 154,Schuhe,premium,184.54,2026-02-16,9999-12-31,true
10155,Ausrüstung Model 155,Ausrüstung,budget,67.3,2024-01-01,2024-10-01,false
10155,Ausrüstung Model 155,Ausrüstung,mid,86.81,2024-10-01,2026-02-16,false
10155,Ausrüstung Model 155,Ausrüstung,budget,67.3,2026-02-16,9999-12-31,true
10156,Bekleidung Model 156,Bekleidung,mid,111.93,2024-01-01,2025-05-01,false
10156,Bekleidung Model 156,Bekleidung,budget,94.51,2025-05-01,2026-02-16,false
10156,Bekleidung Model 156,Bekleidung,mid,111.93,2026-02-16,9999-12-31,true
10157,Schuhe Model 157,Schuhe,premium,249.83,2024-01-01,2024-05-01,false
10157,Schuhe Model 157,Schuhe,mid,201.27,2024-05-01,2026-02-16,false
10157,Schuhe Model 157,Schuhe,premium,249.83,2026-02-16,9999-12-31,true
10158,Ausrüstung Model 158,Ausrüstung,budget,26.31,2024-01-01,9999-12-31,true
10159,Schuhe Model 159,Schuhe,mid,81.58,2024-01-01,2025-05-01,false
10159,Schuhe Model 159,Schuhe,premium,99.8,2025-05-01,2026-02-16,false
10159,Schuhe Model 159,Schuhe,mid,81.58,2026-02-16,9999-12-31,true
10160,Bekleidung Model 160,Bekleidung,mid,115.15,2024-01-01,2025-05-01,false
10160,Bekleidung Model 160,Bekleidung,budget,94.09,2025-05-01,2026-02-16,false
10160,Bekleidung Model 160,Bekleidung,mid,115.15,2026-02-16,9999-12-31,true
10161,Bekleidung Model 161,Bekleidung,budget,72.11,2024-01-01,9999-12-31,true
10162,Bekleidung Model 162,Bekleidung,mid,101.77,2024-01-01,2025-05-01,false
10162,Bekleidung Model 162,Bekleidung,premium,122.85,2025-05-01,2026-02-16,false
10162,Bekleidung Model 162,Bekleidung,mid,101.77,2026-02-16,9999-12-31,true
10163,Bekleidung Model 163,Bekleidung,budget,56.69,2024-01-01,9999-12-31,true
10164,Ausrüstung Model 164,Ausrüstung,mid,157.69,2024-01-01,9999-12-31,true
10165,Schuhe Model 165,Schuhe,mid,112.41,2024-01-01,2024-05-01,false
10165,Schuhe Model 165,Schuhe,premium,137.46,2024-05-01,2026-02-16,false
10165,Schuhe Model 165,Schuhe,mid,112.41,2026-02-16,9999-12-31,true
10166,Bekleidung Model 166,Bekleidung,mid,164.13,2024-01-01,2024-10-01,false
10166,Bekleidung Model 166,Bekleidung,premium,202.09,2024-10-01,2026-02-16,false
10166,Bekleidung Model 166,Bekleidung,mid,164.13,2026-02-16,9999-12-31,true
10167,Ausrüstung Model 167,Ausrüstung,mid,177.34,2024-01-01,9999-12-31,true
10168,Ausrüstung Model 168,Ausrüstung,premium,187.98,2024-01-01,2025-05-01,false
10168,Ausrüstung Model 168,Ausrüstung,mid,156.36,2025-05-01,2026-02-16,false
10168,Ausrüstung Model 168,Ausrüstung,premium,187.98,2026-02-16,9999-12-31,true
10169,Bekleidung Model 169,Bekleidung,budget,63.62,2024-01-01,9999-12-31,true
10170,Bekleidung Model 170,Bekleidung,budget,60.79,2024-01-01,9999-12-31,true
10171,Ausrüstung Model 171,Ausrüstung,mid,109.64,2024-01-01,2024-10-01,false
10171,Ausrüstung Model 171,Ausrüstung,premium,133.86,2024-10-01,2026-02-16,false
10171,Ausrüstung Model 171,Ausrüstung,mid,109.64,2026-02-16,9999-12-31,true
