product_id,price_tier,base_retail_price,dbt_valid_from,dbt_valid_to
10085,budget,20.47,2024-01-01,2025-05-01
10086,budget,56.96,2024-01-01,2025-10-01
10087,premium,184.96,2024-01-01,2024-05-01
10088,premium,276.58,2024-01-01,
10089,budget,70.15,2024-01-01,
10090,premium,222.2,2024-01-01,2025-05-01
10091,mid,141.97,2024-01-01,
10092,premium,566.48,2024-01-01,2024-10-01
10093,mid,159.45,2024-01-01,
10094,mid,113.98,2024-01-01,
10095,budget,45.91,2024-01-01,
10096,budget,31.07,2024-01-01,2025-10-01
10097,mid,92.03,2024-01-01,2024-05-01
10098,mid,87.41,2024-01-01,2025-05-01
10099,budget,54.84,2024-01-01,2024-05-01
10100,mid,94.39,2024-01-01,
10101,budget,42.57,2024-01-01,2024-05-01
10102,premium,224.14,2024-01-01,
10103,mid,138.24,2024-01-01,
10104,mid,121.03,2024-01-01,2024-05-01
10105,premium,418.2,2024-01-01,2024-10-01
10106,mid,85.32,2024-01-01,
10107,budget,78.99,2024-01-01,
10108,premium,431.03,2024-01-01,
10109,premium,216.42,2024-01-01,2024-05-01
10110,budget,71.8,2024-01-01,
10111,mid,129.9,2024-01-01,
10112,budget,78.43,2024-01-01,
10113,budget,60.86,2024-01-01,
10114,mid,141.98,2024-01-01,2024-10-01
10115,premium,315.67,2024-01-01,2024-10-01
10116,budget,60.38,2024-01-01,
10117,premium,220.1,2024-01-01,2024-10-01
10118,mid,87.77,2024-01-01,
10119,budget,60.81,2024-01-01,
10120,mid,90.36,2024-01-01,
10121,budget,78.89,2024-01-01,
10122,mid,83.86,2024-01-01,2025-10-01
10123,mid,82.96,2024-01-01,
10124,mid,179.35,2024-01-01,2025-05-01
10125,budget,79.03,2024-01-01,
10126,mid,107.83,2024-01-01,
10127,budget,77.19,2024-01-01,
10128,mid,99.11,2024-01-01,2025-10-01
10129,mid,128.15,2024-01-01,
10130,mid,110.01,2024-01-01,
10131,budget,74.87,2024-01-01,
10132,mid,159.1,2024-01-01,
10133,mid,127.85,2024-01-01,
10134,budget,52.74,2024-01-01,
10135,mid,112.85,2024-01-01,2024-10-01
10136,budget,54.73,2024-01-01,
10137,mid,161.63,2024-01-01,
10138,budget,51.52,2024-01-01,
10139,budget,49.28,2024-01-01,
10140,budget,53.85,2024-01-01,
10141,mid,153.49,2024-01-01,
10142,mid,95.19,2024-01-01,
10143,budget,47.34,2024-01-01,
10144,premium,232.06,2024-01-01,
10145,budget,46.38,2024-01-01,2025-10-01
10146,budget,78.28,2024-01-01,
10147,budget,39.39,2024-01-01,
10148,mid,94.04,2024-01-01,
10149,mid,153.42,2024-01-01,2025-05-01
10150,budget,79.03,2024-01-01,2024-10-01
10151,mid,113.39,2024-01-01,
10152,premium,300.19,2024-01-01,
10153,budget,57.62,2024-01-01,2024-10-01
10154,premium,184.54,2024-01-01,2024-05-01
10155,budget,67.3,2024-01-01,
10156,mid,111.93,2024-01-01,
10157,premium,249.83,2024-01-01,2024-05-01
10158,budget,26.31,2024-01-01,
10159,mid,81.58,2024-01-01,2024-10-01
10160,mid,115.15,2024-01-01,
10161,budget,72.11,2024-01-01,
10162,mid,101.77,2024-01-01,2025-05-01
10163,budget,56.69,2024-01-01,
10164,mid,157.69,2024-01-01,
10165,mid,112.41,2024-01-01,2024-05-01
10166,mid,164.13,2024-01-01,
10167,mid,177.34,2024-01-01,2025-10-01
10168,premium,187.98,2024-01-01,2025-10-01
10169,budget,63.62,2024-01-01,
10170,budget,60.79,2024-01-01,
10171,mid,109.64,2024-01-01,2025-10-01
10172,mid,103.2,2024-01-01,
10173,mid,110.53,2024-01-01,2024-10-01
10174,mid,96.92,2024-01-01,
10175,premium,634.46,2024-01-01,
10176,mid,137.37,2024-01-01,
10177,budget,66.98,2024-01-01,
10178,premium,221.54,2024-01-01,
10179,mid,111.54,2024-01-01,2024-10-01
10180,budget,23.98,2024-01-01,
10181,budget,73.28,2024-01-01,
10182,budget,47.68,2024-01-01,2024-05-01
10183,mid,101.93,2024-01-01,2024-05-01
10184,mid,150.34,2024-01-01,2024-05-01
10185,premium,222.71,2024-01-01,
10186,mid,143.09,2024-01-01,
10187,budget,71.42,2024-01-01,
10188,mid,133.97,2024-01-01,
10189,budget,31.57,2024-01-01,
10190,mid,175.03,2024-01-01,
10191,mid,178.65,2024-01-01,
10192,budget,58.02,2024-01-01,
10193,mid,161.78,2024-01-01,
10194,mid,99.79,2024-01-01,2025-05-01
10195,budget,63.49,2024-01-01,2024-10-01
10196,mid,166.73,2024-01-01,
10197,premium,378.17,2024-01-01,
10198,mid,133.08,2024-01-01,
10199,mid,137.57,2024-01-01,2025-05-01
10200,budget,61.83,2024-01-01,
10201,mid,81.87,2024-01-01,
10202,premium,265.4,2024-01-01,2024-05-01
10203,budget,79.2,2024-01-01,
10204,mid,85.02,2024-01-01,
10205,mid,106.23,2024-01-01,
10206,premium,207.53,2024-01-01,2025-05-01
10207,mid,99.5,2024-01-01,2024-05-01
10208,premium,306.83,2024-01-01,2025-05-01
10209,mid,103.85,2024-01-01,
10210,budget,69.27,2024-01-01,
10211,budget,45.27,2024-01-01,2024-05-01
10212,budget,62.39,2024-01-01,2025-05-01
10213,premium,193.27,2024-01-01,2025-05-01
10214,mid,177.42,2024-01-01,2025-05-01
10215,budget,77.83,2024-01-01,2025-05-01
10216,mid,137.24,2024-01-01,2024-10-01
10217,premium,239.32,2024-01-01,
10218,mid,104.38,2024-01-01,
10219,premium,310.57,2024-01-01,
10220,budget,51.2,2024-01-01,2024-10-01
10221,budget,38.6,2024-01-01,2024-05-01
10222,budget,42.73,2024-01-01,
10223,premium,199.86,2024-01-01,
10224,premium,234.64,2024-01-01,
10225,mid,142.75,2024-01-01,2025-05-01
10226,mid,139.77,2024-01-01,
10227,budget,41.46,2024-01-01,
10228,premium,412.76,2024-01-01,2024-05-01
10229,mid,88.02,2024-01-01,
10230,mid,128.34,2024-01-01,
10231,mid,125.9,2024-01-01,
10232,mid,108.7,2024-01-01,2025-10-01
10233,mid,93.16,2024-01-01,
10234,mid,85.34,2024-01-01,
10235,mid,153.81,2024-01-01,
10236,premium,554.14,2024-01-01,
10237,premium,380.62,2024-01-01,
10238,premium,211.86,2024-01-01,2024-05-01
10239,mid,103.77,2024-01-01,
10240,budget,74.08,2024-01-01,
10241,mid,114.1,2024-01-01,2024-05-01
10242,mid,124.94,2024-01-01,
10243,mid,157.04,2024-01-01,
10244,budget,45.39,2024-01-01,
10245,premium,261.07,2024-01-01,2025-10-01
10246,budget,74.08,2024-01-01,
10247,mid,98.16,2024-01-01,
10248,budget,73.26,2024-01-01,
10249,budget,53.12,2024-01-01,2025-05-01
10250,premium,264.07,2024-01-01,2024-05-01
10251,mid,85.11,2024-01-01,
10252,budget,63.75,2024-01-01,2024-05-01
10253,budget,37.45,2024-01-01,
10254,mid,117.33,2024-01-01,2024-10-01
10255,premium,221.72,2024-01-01,
10256,mid,106.72,2024-01-01,
10257,budget,33.05,2024-01-01,
10258,budget,70.28,2024-01-01,
10259,mid,122.62,2024-01-01,
10260,budget,20.0,2024-01-01,
10261,mid,118.26,2024-01-01,
10262,mid,126.26,2024-01-01,
10263,mid,123.68,2024-01-01,
10264,premium,306.27,2024-01-01,2025-05-01
10265,premium,213.42,2024-01-01,
10266,budget,69.32,2024-01-01,
10267,budget,69.88,2024-01-01,2024-05-01
10268,premium,381.46,2024-01-01,
10269,mid,154.69,2024-01-01,2024-10-01
10270,mid,122.36,2024-01-01,2024-10-01
10271,mid,120.05,2024-01-01,
10272,mid,134.16,2024-01-01,
10273,mid,113.05,2024-01-01,
10274,budget,57.73,2024-01-01,
10275,budget,58.67,2024-01-01,
10276,mid,119.54,2024-01-01,
10277,budget,58.79,2024-01-01,
10278,mid,85.08,2024-01-01,
10279,mid,128.15,2024-01-01,
10280,mid,106.97,2024-01-01,
10281,premium,200.82,2024-01-01,
10282,budget,20.0,2024-01-01,
10283,premium,318.64,2024-01-01,2024-05-01
10284,mid,172.03,2024-01-01,2025-10-01
10285,budget,34.77,2024-01-01,
10286,budget,66.31,2024-01-01,
10287,budget,65.18,2024-01-01,
10288,budget,55.41,2024-01-01,
10289,budget,51.08,2024-01-01,
10290,budget,68.21,2024-01-01,2025-10-01
10291,premium,506.03,2024-01-01,
10292,premium,194.0,2024-01-01,
10293,mid,174.68,2024-01-01,
10294,premium,245.96,2024-01-01,
10295,budget,41.37,2024-01-01,2024-10-01
10296,mid,93.48,2024-01-01,2024-10-01
10297,premium,209.05,2024-01-01,2024-05-01
10298,budget,39.12,2024-01-01,
10299,premium,244.47,2024-01-01,
10300,mid,125.43,2024-01-01,
10301,budget,65.05,2024-01-01,2025-10-01
10302,mid,124.78,2024-01-01,
10303,mid,106.33,2024-01-01,2025-05-01
10304,mid,101.45,2024-01-01,
10305,premium,216.95,2024-01-01,
10306,budget,42.58,2024-01-01,2025-10-01
10307,mid,117.87,2024-01-01,2024-05-01
10308,mid,163.46,2024-01-01,
10309,mid,119.5,2024-01-01,
10310,mid,99.06,2024-01-01,2024-05-01
10311,budget,61.82,2024-01-01,
10312,premium,283.39,2024-01-01,
10313,mid,110.78,2024-01-01,
10314,mid,93.56,2024-01-01,
10315,mid,152.84,2024-01-01,
10316,budget,53.38,2024-01-01,
10317,budget,55.37,2024-01-01,
10318,budget,49.92,2024-01-01,
10319,premium,226.83,2024-01-01,
10320,budget,37.78,2024-01-01,
10321,premium,292.19,2024-01-01,
10322,budget,23.36,2024-01-01,2024-05-01
10323,premium,486.64,2024-01-01,
10324,mid,135.03,2024-01-01,2024-10-01
10325,mid,115.77,2024-01-01,2024-05-01
10326,budget,58.74,2024-01-01,2024-10-01
10327,mid,103.49,2024-01-01,2024-05-01
10328,budget,79.63,2024-01-01,
10329,premium,321.28,2024-01-01,
10330,mid,87.23,2024-01-01,
10331,mid,130.99,2024-01-01,2025-05-01
10332,mid,115.06,2024-01-01,
10333,mid,142.61,2024-01-01,
10334,premium,184.1,2024-01-01,2024-05-01
10335,budget,44.83,2024-01-01,
10336,budget,61.92,2024-01-01,
10337,mid,176.2,2024-01-01,2024-10-01
10338,mid,90.24,2024-01-01,2025-05-01
10339,mid,130.48,2024-01-01,
10340,mid,82.36,2024-01-01,2025-05-01
10341,mid,100.34,2024-01-01,2025-10-01
10342,mid,101.71,2024-01-01,
10343,budget,51.06,2024-01-01,
10344,mid,91.61,2024-01-01,2024-10-01
10345,budget,45.29,2024-01-01,
10346,mid,104.06,2024-01-01,2025-05-01
10347,budget,45.07,2024-01-01,
10348,mid,151.03,2024-01-01,2025-05-01
10349,mid,108.15,2024-01-01,
10350,mid,94.98,2024-01-01,2025-05-01
10351,premium,198.61,2024-01-01,2024-10-01
10352,premium,221.25,2024-01-01,2024-05-01
10353,premium,301.89,2024-01-01,
10354,budget,40.91,2024-01-01,2025-05-01
10355,budget,37.8,2024-01-01,
10356,mid,95.83,2024-01-01,
10357,mid,82.74,2024-01-01,
10358,mid,157.41,2024-01-01,
10359,budget,52.7,2024-01-01,
10360,mid,91.11,2024-01-01,2024-05-01
10361,budget,51.77,2024-01-01,
10362,budget,56.43,2024-01-01,
10363,budget,35.02,2024-01-01,2025-10-01
10364,budget,76.58,2024-01-01,
10365,budget,36.2,2024-01-01,
10366,budget,74.59,2024-01-01,
10367,premium,205.78,2024-01-01,
10368,budget,76.36,2024-01-01,
10369,premium,800.0,2024-01-01,
10370,premium,209.63,2024-01-01,
10371,mid,168.91,2024-01-01,
10372,mid,81.38,2024-01-01,2024-10-01
10373,mid,123.99,2024-01-01,
10374,mid,99.19,2024-01-01,
10375,mid,87.64,2024-01-01,
10376,premium,437.05,2024-01-01,
10377,mid,138.76,2024-01-01,2025-05-01
10378,premium,215.86,2024-01-01,
10379,mid,90.72,2024-01-01,
10380,mid,144.82,2024-01-01,
10381,premium,235.68,2024-01-01,2024-05-01
10382,budget,55.91,2024-01-01,
10383,premium,300.73,2024-01-01,2024-10-01
10384,mid,173.1,2024-01-01,
10385,mid,91.72,2024-01-01,
10386,premium,231.06,2024-01-01,
10387,premium,293.18,2024-01-01,
10388,mid,165.82,2024-01-01,2025-10-01
10389,budget,55.42,2024-01-01,
10390,mid,84.47,2024-01-01,
10391,budget,70.21,2024-01-01,2025-10-01
10392,budget,77.89,2024-01-01,
10393,mid,165.73,2024-01-01,2025-10-01
10394,mid,90.62,2024-01-01,
10395,budget,62.32,2024-01-01,
10396,mid,146.95,2024-01-01,2025-10-01
10397,mid,117.49,2024-01-01,
10398,mid,160.76,2024-01-01,
10399,premium,208.59,2024-01-01,
10400,premium,266.07,2024-01-01,
10401,mid,152.87,2024-01-01,
10402,budget,78.09,2024-01-01,2024-05-01
10403,budget,52.96,2024-01-01,
10404,mid,105.4,2024-01-01,
10405,mid,134.81,2024-01-01,
10406,mid,95.87,2024-01-01,2024-10-01
10407,budget,60.72,2024-01-01,
10408,budget,70.77,2024-01-01,
10409,premium,310.2,2024-01-01,
10410,budget,79.54,2024-01-01,
10411,mid,170.84,2024-01-01,
10412,mid,123.24,2024-01-01,
10413,mid,82.92,2024-01-01,2024-10-01
10414,mid,143.02,2024-01-01,
10415,budget,59.76,2024-01-01,
10416,mid,158.74,2024-01-01,2025-10-01
10417,budget,61.72,2024-01-01,2024-05-01
10418,budget,62.76,2024-01-01,2024-05-01
10419,mid,104.11,2024-01-01,2024-05-01
10420,mid,135.78,2024-01-01,
10421,mid,95.64,2024-01-01,
10422,premium,357.46,2024-01-01,
10423,budget,47.62,2024-01-01,
10424,mid,130.22,2024-01-01,
10425,budget,62.56,2024-01-01,2024-10-01
10426,premium,194.06,2024-01-01,
10427,mid,134.06,2024-01-01,2024-05-01
10428,mid,151.28,2024-01-01,2025-10-01
10429,budget,52.46,2024-01-01,2024-05-01
10430,mid,178.92,2024-01-01,
10431,premium,189.58,2024-01-01,
10432,mid,85.57,2024-01-01,
10433,premium,312.89,2024-01-01,
10434,mid,103.33,2024-01-01,
10435,premium,245.84,2024-01-01,
10436,premium,741.91,2024-01-01,
10437,mid,101.35,2024-01-01,
10438,mid,97.25,2024-01-01,
10439,premium,410.5,2024-01-01,2024-05-01
10440,premium,448.41,2024-01-01,
10441,mid,93.56,2024-01-01,2025-05-01
10442,budget,63.3,2024-01-01,
10443,budget,68.78,2024-01-01,
10444,budget,62.04,2024-01-01,2025-05-01
10445,budget,76.76,2024-01-01,2024-10-01
10446,budget,73.55,2024-01-01,
10447,mid,82.77,2024-01-01,2025-05-01
10448,budget,79.77,2024-01-01,
10449,mid,174.85,2024-01-01,2025-10-01
10450,premium,263.82,2024-01-01,
10451,budget,44.75,2024-01-01,
10452,mid,147.02,2024-01-01,
10453,mid,109.18,2024-01-01,
10454,mid,143.36,2024-01-01,
10455,mid,122.11,2024-01-01,
10456,budget,67.63,2024-01-01,2024-10-01
10457,mid,102.46,2024-01-01,
10458,mid,166.75,2024-01-01,
10459,premium,209.5,2024-01-01,
10460,premium,181.71,2024-01-01,
10461,premium,355.38,2024-01-01,
10462,mid,88.33,2024-01-01,2025-10-01
10463,budget,59.23,2024-01-01,
10464,mid,88.98,2024-01-01,
10465,budget,58.36,2024-01-01,2024-10-01
10466,mid,95.0,2024-01-01,
10467,premium,220.19,2024-01-01,2024-05-01
10468,premium,401.16,2024-01-01,
10469,mid,91.34,2024-01-01,
10470,mid,82.88,2024-01-01,
10471,mid,153.81,2024-01-01,2025-05-01
10472,mid,100.83,2024-01-01,2024-05-01
10473,mid,166.75,2024-01-01,2024-05-01
10474,mid,92.0,2024-01-01,2025-05-01
10475,budget,56.95,2024-01-01,
10476,premium,438.45,2024-01-01,2025-10-01
10477,premium,239.25,2024-01-01,2024-10-01
10478,mid,89.44,2024-01-01,2024-05-01
10479,budget,64.55,2024-01-01,
10480,mid,96.69,2024-01-01,
10481,mid,99.55,2024-01-01,
10482,mid,120.92,2024-01-01,2024-05-01
10483,premium,272.09,2024-01-01,
10484,budget,73.25,2024-01-01,
10485,mid,81.52,2024-01-01,
10486,budget,56.51,2024-01-01,2024-05-01
10487,mid,88.97,2024-01-01,
10488,mid,119.51,2024-01-01,2025-10-01
10489,premium,298.06,2024-01-01,2024-10-01
10490,budget,59.71,2024-01-01,
10491,mid,93.16,2024-01-01,
10492,mid,146.72,2024-01-01,
10493,premium,341.0,2024-01-01,
10494,premium,370.98,2024-01-01,
10495,budget,59.23,2024-01-01,
10496,budget,60.72,2024-01-01,2024-10-01
10497,premium,308.25,2024-01-01,2025-10-01
10498,mid,170.88,2024-01-01,2025-05-01
10499,premium,305.93,2024-01-01,2025-05-01
10211,mid,55.88,2024-05-01,2025-10-01
10182,mid,60.44,2024-05-01,
10207,premium,122.91,2024-05-01,2025-10-01
10417,mid,76.18,2024-05-01,2025-05-01
10062,premium,119.36,2024-05-01,
10183,premium,130.21,2024-05-01,
10325,budget,94.22,2024-05-01,2024-10-01
10035,mid,244.11,2024-05-01,
10322,mid,29.44,2024-05-01,
10307,premium,144.23,2024-05-01,
10402,mid,101.08,2024-05-01,
10327,premium,130.86,2024-05-01,2025-05-01
10002,mid,166.09,2024-05-01,
10165,premium,137.46,2024-05-01,
10473,premium,202.94,2024-05-01,
10381,mid,199.44,2024-05-01,
10472,premium,127.1,2024-05-01,2025-10-01
10439,mid,344.95,2024-05-01,
10202,mid,219.17,2024-05-01,
10056,mid,42.56,2024-05-01,
10283,mid,257.37,2024-05-01,2024-10-01
10101,mid,53.31,2024-05-01,
10429,mid,67.18,2024-05-01,
10221,mid,47.18,2024-05-01,2024-10-01
10154,mid,154.14,2024-05-01,
10427,premium,166.67,2024-05-01,2024-10-01
10360,premium,113.92,2024-05-01,
10334,mid,148.84,2024-05-01,
10076,budget,72.61,2024-05-01,
10486,mid,68.29,2024-05-01,
10418,mid,78.66,2024-05-01,
10097,budget,73.92,2024-05-01,
10267,mid,87.73,2024-05-01,
10419,budget,86.03,2024-05-01,
10038,premium,147.89,2024-05-01,
10297,mid,173.67,2024-05-01,2025-10-01
10087,mid,156.18,2024-05-01,2025-05-01
10250,mid,215.6,2024-05-01,2024-10-01
10184,budget,124.56,2024-05-01,
10026,mid,62.16,2024-05-01,
10228,mid,338.29,2024-05-01,
10478,premium,111.52,2024-05-01,2024-10-01
10157,mid,201.27,2024-05-01,
10104,premium,149.82,2024-05-01,
10010,mid,56.2,2024-05-01,
10081,premium,165.67,2024-05-01,
10109,mid,179.29,2024-05-01,2024-10-01
10252,mid,81.15,2024-05-01,
10482,premium,151.43,2024-05-01,
10241,premium,142.88,2024-05-01,
10467,mid,179.56,2024-05-01,
10352,mid,187.81,2024-05-01,
10099,mid,69.2,2024-05-01,2024-10-01
10310,premium,126.78,2024-05-01,2024-10-01
10238,mid,171.22,2024-05-01,2024-10-01
10009,premium,122.17,2024-10-01,
10295,mid,50.86,2024-10-01,
10075,premium,158.24,2024-10-01,
10032,mid,284.61,2024-10-01,
10344,premium,118.78,2024-10-01,
10324,premium,168.55,2024-10-01,
10092,mid,467.36,2024-10-01,
10115,mid,260.02,2024-10-01,
10325,mid,117.6,2024-10-01,
10296,premium,112.43,2024-10-01,
10383,mid,254.13,2024-10-01,2025-05-01
10250,premium,274.85,2024-10-01,
10406,budget,79.2,2024-10-01,
10105,mid,336.55,2024-10-01,
10005,mid,167.76,2024-10-01,
10478,mid,92.18,2024-10-01,2025-10-01
10084,mid,83.03,2024-10-01,
10445,mid,98.28,2024-10-01,
10351,mid,162.5,2024-10-01,
10270,premium,151.95,2024-10-01,
10220,mid,64.67,2024-10-01,
10496,mid,78.54,2024-10-01,
10159,premium,99.0,2024-10-01,
10326,mid,74.03,2024-10-01,
10221,premium,58.3,2024-10-01,
10269,premium,194.01,2024-10-01,
10135,premium,138.5,2024-10-01,
10427,mid,140.49,2024-10-01,
10465,mid,73.48,2024-10-01,
10254,budget,94.38,2024-10-01,
10109,premium,223.0,2024-10-01,
10150,mid,96.52,2024-10-01,
10489,mid,248.0,2024-10-01,
10310,mid,106.2,2024-10-01,2025-10-01
10413,premium,105.2,2024-10-01,2025-10-01
10283,premium,331.33,2024-10-01,
10456,mid,84.07,2024-10-01,
10066,mid,91.06,2024-10-01,
10337,premium,217.75,2024-10-01,2025-10-01
10238,budget,138.07,2024-10-01,2025-05-01
10372,premium,102.43,2024-10-01,
10195,mid,80.77,2024-10-01,
10114,budget,115.92,2024-10-01,
10063,mid,54.03,2024-10-01,
10173,premium,136.4,2024-10-01,
10099,budget,55.8,2024-10-01,
10153,mid,69.27,2024-10-01,
10477,mid,195.09,2024-10-01,
10425,mid,77.87,2024-10-01,
10117,mid,181.62,2024-10-01,
10216,budget,115.8,2024-10-01,
10179,budget,89.88,2024-10-01,
10162,premium,127.79,2025-05-01,
10098,budget,74.26,2025-05-01,
10194,premium,121.73,2025-05-01,
10471,premium,185.66,2025-05-01,2025-10-01
10214,budget,148.44,2025-05-01,
10213,mid,161.5,2025-05-01,
10327,mid,110.14,2025-05-01,
10377,premium,180.15,2025-05-01,
10022,budget,129.96,2025-05-01,
10346,premium,126.54,2025-05-01,
10383,premium,323.92,2025-05-01,
10238,mid,178.56,2025-05-01,
10331,premium,166.13,2025-05-01,
10034,mid,278.13,2025-05-01,
10090,mid,181.5,2025-05-01,2025-10-01
10350,premium,117.58,2025-05-01,2025-10-01
10008,premium,205.41,2025-05-01,
10199,premium,170.04,2025-05-01,
10124,budget,145.63,2025-05-01,
10354,mid,51.21,2025-05-01,
10303,budget,88.4,2025-05-01,
10225,premium,178.1,2025-05-01,
10085,mid,26.59,2025-05-01,2025-10-01
10020,mid,52.38,2025-05-01,
10087,budget,128.83,2025-05-01,
10447,premium,103.68,2025-05-01,
10212,mid,76.32,2025-05-01,2025-10-01
10474,budget,77.43,2025-05-01,
10498,premium,209.63,2025-05-01,
10215,mid,93.74,2025-05-01,
10249,mid,67.69,2025-05-01,
10208,mid,252.02,2025-05-01,
10264,mid,259.99,2025-05-01,2025-10-01
10348,premium,190.0,2025-05-01,
10417,budget,61.93,2025-05-01,2025-10-01
10441,premium,113.84,2025-05-01,
10338,budget,74.54,2025-05-01,
10006,mid,74.25,2025-05-01,
10077,budget,138.15,2025-05-01,
10206,mid,175.83,2025-05-01,
10340,premium,104.54,2025-05-01,
10149,premium,191.39,2025-05-01,
10499,mid,252.21,2025-05-01,
10444,mid,74.77,2025-05-01,
10245,mid,213.42,2025-10-01,
10016,premium,106.21,2025-10-01,
10074,mid,265.69,2025-10-01,
10128,premium,128.25,2025-10-01,
10145,mid,58.92,2025-10-01,
10021,premium,169.73,2025-10-01,
10297,premium,215.88,2025-10-01,
10341,budget,83.45,2025-10-01,
10416,budget,129.01,2025-10-01,
10168,mid,156.63,2025-10-01,
10232,premium,140.28,2025-10-01,
10301,mid,83.31,2025-10-01,
10264,premium,323.81,2025-10-01,
10085,budget,22.35,2025-10-01,
10090,budget,149.46,2025-10-01,
10310,budget,85.33,2025-10-01,
10350,mid,95.25,2025-10-01,
10122,budget,68.84,2025-10-01,
10488,premium,153.84,2025-10-01,
10290,mid,86.49,2025-10-01,
10024,premium,157.85,2025-10-01,
10363,mid,45.43,2025-10-01,
10449,budget,140.07,2025-10-01,
10027,budget,145.41,2025-10-01,
10393,premium,210.09,2025-10-01,
10086,mid,72.29,2025-10-01,
10472,mid,104.04,2025-10-01,
10167,budget,149.55,2025-10-01,
10428,premium,189.33,2025-10-01,
10396,budget,122.86,2025-10-01,
10413,mid,86.33,2025-10-01,
10284,premium,220.87,2025-10-01,
10211,premium,69.65,2025-10-01,
10096,mid,39.15,2025-10-01,
10471,mid,155.62,2025-10-01,
10171,budget,93.18,2025-10-01,
10388,budget,137.49,2025-10-01,
10212,premium,95.5,2025-10-01,
10462,budget,73.82,2025-10-01,
10337,mid,175.91,2025-10-01,
10391,mid,86.59,2025-10-01,
10497,mid,248.22,2025-10-01,
10476,mid,355.43,2025-10-01,
10207,mid,100.01,2025-10-01,
10306,mid,51.94,2025-10-01,
10417,mid,80.04,2025-10-01,
10478,budget,74.55,2025-10-01,
